 ལ  གནས་པ 						ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	bstod tshogs ka_.txt	     ལ  གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ 
།_།  ལ ན་ལྡོན 	པར 	གཞག་ཅིང 	འདྲི 	ཀུན་གྱི 	།_། 	ལ	ན་ལྡོན 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	bstod tshogs ka_.txt	པར  གཞག་ཅིང  འདྲི  ཀུན་གྱི  །_།  ལ ན་ལྡོན  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_། 
 ལ  །_། 						ལ 	།_། 	རྟག་ཏུ 	བློ་གྲོས 	མི 	ཐོགས་པ 	bstod tshogs ka_.txt	     ལ  །_།  རྟག་ཏུ  བློ་གྲོས  མི  ཐོགས་པ 
 ལ  ཕྱག 						ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	ཆེད་དུ 	ཞུ་དང 	bstod tshogs ka_.txt	     ལ  ཕྱག  འཚལ་ལོ  །_།  ཆེད་དུ  ཞུ་དང 
།_།  ལ ེགས 	།_། 	འགྲོ་དང 	ངེས་འབྱུང 	སེམས་ཅན་ལ 	།_། 	ལ	ེགས 	འདོམས 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	།_།  འགྲོ་དང  ངེས་འབྱུང  སེམས་ཅན་ལ  །_།  ལ ེགས  འདོམས  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ 
།_།  ལ ུས 					།_། 	ལ	ུས 	ཅན 	ཀུན་གྱིས 	ཁྱོད 	མཐོང་ན 	bstod tshogs ka_.txt	    །_།  ལ ུས  ཅན  ཀུན་གྱིས  ཁྱོད  མཐོང་ན 
།_།  ལ ེན་དང 	མཛད་པ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	ལ	ེན་དང 	གནས་དང 	གཏོང་བ་དང 	།_། 	སྤྲུལ་པ་དང་ནི 	bstod tshogs ka_.txt	མཛད་པ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།  ལ ེན་དང  གནས་དང  གཏོང་བ་དང  །_།  སྤྲུལ་པ་དང་ནི 
 ལ  །_། 						ལ 	།_། 	མངའ 	བརྙེས 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     ལ  །_།  མངའ  བརྙེས  ཁྱོད་ལ  ཕྱག 
 ལ ་ལོ 						ལ	་ལོ 	།_། 	ཐབས་དང 	སྐྱབས་དང 	དག་པ་དང 	bstod tshogs ka_.txt	     ལ ་ལོ  །_།  ཐབས་དང  སྐྱབས་དང  དག་པ་དང 
 ལ  །_། 						ལ 	།_། 	སེམས 	ཅན 	རྣམས་ལ 	སླུ་བ་ཡི 	bstod tshogs ka_.txt	     ལ  །_།  སེམས  ཅན  རྣམས་ལ  སླུ་བ་ཡི 
 ལ  ཕྱག 						ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	ཡེ 	ཤེས་དང་ནི 	bstod tshogs ka_.txt	     ལ  ཕྱག  འཚལ་ལོ  །_།  ཡེ  ཤེས་དང་ནི 
 ལ  མུ་སྟེགས་གཞན 						ལ 	མུ་སྟེགས་གཞན 	།_། 	མི 	ཚུགས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	     ལ  མུ་སྟེགས་གཞན  །_།  མི  ཚུགས  ཁྱོད་ལ 
 ལ ་ལོ 						ལ	་ལོ 	།_། 	འཁོར་དུ 	ཚར 	བཅད 	bstod tshogs ka_.txt	     ལ ་ལོ  །_།  འཁོར་དུ  ཚར  བཅད 
 ལ  །_། 						ལ 	།_། 	བསྲུང་བ 	མི 	མངའ 	བསྙེལ 	bstod tshogs ka_.txt	     ལ  །_།  བསྲུང་བ  མི  མངའ  བསྙེལ 
 ལ  ཕྱག 						ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	གཤེགས 	བཞུགས 	bstod tshogs ka_.txt	     ལ  ཕྱག  འཚལ་ལོ  །_།  གཤེགས  བཞུགས 
མ  ལ གས 	-ར་ཡང 	།_། 	ཀུན 	མཁྱེན 	མ 	ལ	གས 	སྤྱོད 	མི་མངའ 	།_། 	ཁྱོད་ནི 	bstod tshogs ka_.txt	-ར་ཡང  །_།  ཀུན  མཁྱེན  མ  ལ གས  སྤྱོད  མི་མངའ  །_།  ཁྱོད་ནི 
 ལ  ཕྱག 						ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སེམས 	ཅན 	bstod tshogs ka_.txt	     ལ  ཕྱག  འཚལ་ལོ  །_།  སེམས  ཅན 
 ལ ས 						ལ	ས 	ཡོང 	མི་འདའ 	།_། 	རྟག་ཏུ 	bstod tshogs ka_.txt	     ལ ས  ཡོང  མི་འདའ  །_།  རྟག་ཏུ 
 ལ  ཁྱོད་ལ 						ལ 	ཁྱོད་ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	འཇིག 	bstod tshogs ka_.txt	     ལ  ཁྱོད་ལ  ཕྱག  འཚལ་ལོ  །_།  འཇིག 
_།  ལ ན་དྲུག་ཏུ་ནི 	རྟེན 	ཀུན་ལ 	གདུགས 	ཞག་གཅིག 	_། 	ལ	ན་དྲུག་ཏུ་ནི 	གཟིགས 	མཛད་པ 	།_། 	ཐུགས 	bstod tshogs ka_.txt	རྟེན  ཀུན་ལ  གདུགས  ཞག་གཅིག  _།  ལ ན་དྲུག་ཏུ་ནི  གཟིགས  མཛད་པ  །_།  ཐུགས 
རྗེ་ཆེ་དང  ལ ྡན་པ་པོ 					རྗེ་ཆེ་དང 	ལ	ྡན་པ་པོ 	།_། 	ཕན 	དགོངས 	ཁྱོད་ལ 	bstod tshogs ka_.txt	    རྗེ་ཆེ་དང  ལ ྡན་པ་པོ  །_།  ཕན  དགོངས  ཁྱོད་ལ 
 ལ ་ལོ 						ལ	་ལོ 	།_། 	གཤེགས་དང 	ཐུགས་སུ 	ཆུད་པ་དང 	bstod tshogs ka_.txt	     ལ ་ལོ  །_།  གཤེགས་དང  ཐུགས་སུ  ཆུད་པ་དང 
 ལ ས་ཀྱིས 						ལ	ས་ཀྱིས 	།_། 	ཉན 	ཐོས་དང་ནི 	རང 	bstod tshogs ka_.txt	     ལ ས་ཀྱིས  །_།  ཉན  ཐོས་དང་ནི  རང 
 ལ  ཕྱག 						ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	བྱང 	ཆུབ 	bstod tshogs ka_.txt	     ལ  ཕྱག  འཚལ་ལོ  །_།  བྱང  ཆུབ 
 ལ  ཕྱག 						ལ 	ཕྱག 	འཚལ་ལོ 	།_། 	སྲི་བ 	མི 	bstod tshogs ka_.txt	     ལ  ཕྱག  འཚལ་ལོ  །_།  སྲི་བ  མི 
 ལ  །_། 						ལ 	།_། 	མ 	སྤྲོས 	ཁྱོད་ལ 	ཕྱག 	bstod tshogs ka_.txt	     ལ  །_།  མ  སྤྲོས  ཁྱོད་ལ  ཕྱག 
 ལ ་ལོ 						ལ	་ལོ 	།_། 	ཆོས 	སྐུ་ལ 	གནས 	bstod tshogs ka_.txt	     ལ ་ལོ  །_།  ཆོས  སྐུ་ལ  གནས 
 ལ  བདག་གིས 						ལ 	བདག་གིས 	རབ 	བསྟོད་པས 	།_། 	ཡོན་ཏན་དྲུག 	bstod tshogs ka_.txt	     ལ  བདག་གིས  རབ  བསྟོད་པས  །_།  ཡོན་ཏན་དྲུག 
 ལ ྡན 						ལ	ྡན 	སྐུ་གསུམ་པོ་ནི 	ཡོངས་སུ 	རྫོགས་པ 	-ར་ནི 	bstod tshogs ka_.txt	     ལ ྡན  སྐུ་གསུམ་པོ་ནི  ཡོངས་སུ  རྫོགས་པ  -ར་ནི 
 ལ  གནས་པ 						ལ 	གནས་པ 	-འི 	ཡོན་ཏན 	ཐུན་མོང 	མ་ཡིན་པ་ལ 	bstod tshogs ka_.txt	     ལ  གནས་པ  -འི  ཡོན་ཏན  ཐུན་མོང  མ་ཡིན་པ་ལ 
ཞུ་ཆེན་གྱི  ལ ོ་ཙཱ་བ་བནྡེ 	ཛི་ན་མི་ཏྲ་དང 	།_ 	ཤཱི་ལེཎྡྲ་བོ་དྷི་དང 	།_ 	ཞུ་ཆེན་གྱི 	ལ	ོ་ཙཱ་བ་བནྡེ 	ཡེ་ཤེས 	སྡེ 	-ས 	བསྒྱུར་ཅིང 	bstod tshogs ka_.txt	ཛི་ན་མི་ཏྲ་དང  །_  ཤཱི་ལེཎྡྲ་བོ་དྷི་དང  །_  ཞུ་ཆེན་གྱི  ལ ོ་ཙཱ་བ་བནྡེ  ཡེ་ཤེས  སྡེ  -ས  བསྒྱུར་ཅིང 
 ལ  ཕབ་པ 						ལ 	ཕབ་པ 	།།_།།༄༅།_། 	ཆོས་ཀྱི 	དབྱིངས་སུ 	བསྟོད་པ 	bstod tshogs ka_.txt	     ལ  ཕབ་པ  །།_།།༄༅།_།  ཆོས་ཀྱི  དབྱིངས་སུ  བསྟོད་པ 
 ལ ་གཞོན 						ལ	་གཞོན 	ནུར 	གྱུར་པ་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	     ལ ་གཞོན  ནུར  གྱུར་པ་ལ  ཕྱག  འཚལ་ལོ 
 ལ  ངེས་གནས་པའི 						ལ 	ངེས་གནས་པའི 	།_། 	ཆོས་ཀྱི 	དབྱིངས་ལ 	ཕྱག 	bstod tshogs ka_.txt	     ལ  ངེས་གནས་པའི  །_།  ཆོས་ཀྱི  དབྱིངས་ལ  ཕྱག 
 ལ ་འདུད 						ལ	་འདུད 	།_། 	གང་ཞིག 	འཁོར་བ 	-འི 	bstod tshogs ka_.txt	     ལ ་འདུད  །_།  གང་ཞིག  འཁོར་བ  -འི 
 ལ ས 						ལ	ས 	།_། 	དག་པ 	དེ་ཉིད 	མྱ་ངན་འདས 	bstod tshogs ka_.txt	     ལ ས  །_།  དག་པ  དེ་ཉིད  མྱ་ངན་འདས 
ཇི  ལ ྟར 	ཆོས་ཀྱི 	སྐུ་ཡང 	དེ་ཉིད་དོ 	།_། 	ཇི 	ལ	ྟར 	འོ་མ་དང 	འདྲེས་པས 	།_། 	མར་གྱི 	bstod tshogs ka_.txt	ཆོས་ཀྱི  སྐུ་ཡང  དེ་ཉིད་དོ  །_།  ཇི  ལ ྟར  འོ་མ་དང  འདྲེས་པས  །_།  མར་གྱི 
 ལ ྟར 						ལ	ྟར 	འོ་མ་རྣམ 	སྦྱངས་པས 	།_། 	མར་གྱི 	bstod tshogs ka_.txt	     ལ ྟར  འོ་མ་རྣམ  སྦྱངས་པས  །_།  མར་གྱི 
ཇི  ལ ྟར 	དབྱིངས 	ཤིན་ཏུ 	དྲི་མེད་འགྱུར 	།_། 	ཇི 	ལ	ྟར 	མར་མེ་བུམ 	ནང་གནས 	།_། 	ཅུང་ཞིག 	bstod tshogs ka_.txt	དབྱིངས  ཤིན་ཏུ  དྲི་མེད་འགྱུར  །_།  ཇི  ལ ྟར  མར་མེ་བུམ  ནང་གནས  །_།  ཅུང་ཞིག 
ཇི  ལ ྟར 	མཐའ 	-ར 	དྲི་མ་བྲལ 	།_། 	ཇི 	ལ	ྟར 	རིན་ཆེན་བཻཌཱུརྱ 	།_། 	དུས 	རྣམས 	bstod tshogs ka_.txt	མཐའ  -ར  དྲི་མ་བྲལ  །_།  ཇི  ལ ྟར  རིན་ཆེན་བཻཌཱུརྱ  །_།  དུས  རྣམས 
 ལ ་ཡང 						ལ	་ཡང 	_།_། 	རྡོ་ཡི 	ནང་ན 	གནས 	bstod tshogs ka_.txt	     ལ ་ཡང  _།_།  རྡོ་ཡི  ནང་ན  གནས 
 ལ  མ་ཡིན 						ལ 	མ་ཡིན 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	bstod tshogs ka_.txt	     ལ  མ་ཡིན  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས 
 ལ  མ་ཡིན 						ལ 	མ་ཡིན 	།_། 	མྱ་ངན 	འདས་ན 	འོད་གསལ་འགྱུར 	bstod tshogs ka_.txt	     ལ  མ་ཡིན  །_།  མྱ་ངན  འདས་ན  འོད་གསལ་འགྱུར 
ས  ལ ེ 	ནི་ལ 	-ས 	བྱས་པས 	།_། 	ས 	ལ	ེ 	སྦྲམ 	དག 	མཐོང་བ 	-ར་འགྱུར 	bstod tshogs ka_.txt	ནི་ལ  -ས  བྱས་པས  །_།  ས  ལ ེ  སྦྲམ  དག  མཐོང་བ  -ར་འགྱུར 
 ལ  -ས 						ལ 	-ས 	བྱས་ན 	།_། 	ཉོན་མོངས 	འབའ་ཞིག 	bstod tshogs ka_.txt	     ལ  -ས  བྱས་ན  །_།  ཉོན་མོངས  འབའ་ཞིག 
 ལ ྟར 	བསྐྱེད་པ 	-ར་ཟད 	།_། 	ཇི 		ལ	ྟར 	སྦུན་པ 	-ས 	གཡོགས 	གྱུར་པས 	bstod tshogs ka_.txt	བསྐྱེད་པ  -ར་ཟད  །_།  ཇི   ལ ྟར  སྦུན་པ  -ས  གཡོགས  གྱུར་པས 
 ལ ྟར 						ལ	ྟར 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	bstod tshogs ka_.txt	     ལ ྟར  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས 
ཇི  ལ ྟར 	དེ་ནི 	སངས་རྒྱས་ཞེས 	མི་བརྟག 	_། 	ཇི 	ལ	ྟར 	སྦུན་པ་ལས 	གྲོལ་ན 	།_། 	འབྲས 	bstod tshogs ka_.txt	དེ་ནི  སངས་རྒྱས་ཞེས  མི་བརྟག  _།  ཇི  ལ ྟར  སྦུན་པ་ལས  གྲོལ་ན  །_།  འབྲས 
 ལ ྟར 						ལ	ྟར 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ལས 	bstod tshogs ka_.txt	     ལ ྟར  །_།  དེ  བཞིན  ཉོན་མོངས་ལས 
 ལ ་ན 						ལ	་ན 	།_། 	ཆོས་ཀྱི 	སྐུ 	ཉིད 	bstod tshogs ka_.txt	     ལ ་ན  །_།  ཆོས་ཀྱི  སྐུ  ཉིད 
 ལ  །_། 						ལ 	།_། 	ཆུ་ཤིང 	སྙིང་པོ 	མེད་དོ་ཞེས 	།_། 	bstod tshogs ka_.txt	     ལ  །_།  ཆུ་ཤིང  སྙིང་པོ  མེད་དོ་ཞེས  །_། 
 ལ ྟར 						ལ	ྟར 	།_། 	སྙིང་པོ 	མེད་པ 	-འི 	bstod tshogs ka_.txt	     ལ ྟར  །_།  སྙིང་པོ  མེད་པ  -འི 
 ལ ས 						ལ	ས 	།_། 	ཉོན་མོངས 	གཟེབ་དང 	བྲལ 	bstod tshogs ka_.txt	     ལ ས  །_།  ཉོན་མོངས  གཟེབ་དང  བྲལ 
།_།  ལ ུས 	།_། 	དེ་ཡི 	འབྲས་བུ 	སངས་རྒྱས་ཉིད 	།_། 	ལ	ུས 	ཅན 	ཀུན་གྱི 	བདུད་རྩི 	-ར་འགྱུར 	bstod tshogs ka_.txt	།_།  དེ་ཡི  འབྲས་བུ  སངས་རྒྱས་ཉིད  །_།  ལ ུས  ཅན  ཀུན་གྱི  བདུད་རྩི  -ར་འགྱུར 
 ལ ས 						ལ	ས 	།_། 	རྒྱུ་དང 	འདྲ་བ 	-འི 	bstod tshogs ka_.txt	     ལ ས  །_།  རྒྱུ་དང  འདྲ་བ  -འི 
ཤེས  ལ ྡན་གང་གིས 	-ར 	འབྲས 	ཡོད་པར 	།_། 	ཤེས 	ལ	ྡན་གང་གིས 	སྒྲུབ་པ 	-ར 	ནུས 	།_།_ 	bstod tshogs ka_.txt	-ར  འབྲས  ཡོད་པར  །_།  ཤེས  ལ ྡན་གང་གིས  སྒྲུབ་པ  -ར  ནུས  །_།_ 
 ལ ས 						ལ	ས 	།_། 	སངས 	རྒྱས 	གོ་འཕང 	bstod tshogs ka_.txt	     ལ ས  །_།  སངས  རྒྱས  གོ་འཕང 
སྒྲིབ་པ  ལ ྔ་ཡིས 	སྒྲ་གཅན 	གདོང་དང 	རྡུལ་ལ་སོགས 	།_། 	སྒྲིབ་པ 	ལ	ྔ་ཡིས 	བསྒྲིབས་པ 	-ར་གྱུར 	།_། 	དེ 	bstod tshogs ka_.txt	སྒྲ་གཅན  གདོང་དང  རྡུལ་ལ་སོགས  །_།  སྒྲིབ་པ  ལ ྔ་ཡིས  བསྒྲིབས་པ  -ར་གྱུར  །_།  དེ 
གནོད་སེམས  ལ ེ་ལོ་དང 	བཞིན 	འོད་གསལ་བ་ཡི་སེམས 	།_། 	འདོད་དང 	གནོད་སེམས 	ལ	ེ་ལོ་དང 	_།_། 	རྒོད་པ་དང་ནི 	ཐེ་ཚོམ་སྟེ 	།_། 	bstod tshogs ka_.txt	བཞིན  འོད་གསལ་བ་ཡི་སེམས  །_།  འདོད་དང  གནོད་སེམས  ལ ེ་ལོ་དང  _།_།  རྒོད་པ་དང་ནི  ཐེ་ཚོམ་སྟེ  །_། 
སྒྲིབ་པ  ལ ྔ་ཡིས 					སྒྲིབ་པ 	ལ	ྔ་ཡིས 	བསྒྲིབས་པ 	-ར་གྱུར 	།_། 	ཇི 	bstod tshogs ka_.txt	    སྒྲིབ་པ  ལ ྔ་ཡིས  བསྒྲིབས་པ  -ར་གྱུར  །_།  ཇི 
 ལ ྟར 						ལ	ྟར 	མེ་ཡིས 	དག་པ 	-འི་གོས 	།_། 	bstod tshogs ka_.txt	     ལ ྟར  མེ་ཡིས  དག་པ  -འི་གོས  །_། 
ཇི  ལ ྟར 	དྲི་མ 	-ས 	དྲི་མ་ཅན 	།_། 	ཇི 	ལ	ྟར 	མེ་ཡི 	ནང 	བཅུག་ན 	།_། 	bstod tshogs ka_.txt	དྲི་མ  -ས  དྲི་མ་ཅན  །_།  ཇི  ལ ྟར  མེ་ཡི  ནང  བཅུག་ན  །_། 
 ལ ྟར 						ལ	ྟར 	།_། 	དེ 	བཞིན 	འོད་གསལ་བ་ཡི་སེམས 	bstod tshogs ka_.txt	     ལ ྟར  །_།  དེ  བཞིན  འོད་གསལ་བ་ཡི་སེམས 
 ལ  སོགས 						ལ 	སོགས 	དྲི་མ་ཅན 	།_། 	ཡེ 	ཤེས 	bstod tshogs ka_.txt	     ལ  སོགས  དྲི་མ་ཅན  །_།  ཡེ  ཤེས 
 ལ  མ་ཡིན་ནོ 						ལ 	མ་ཡིན་ནོ 	།_། 	སྟོང་པ 	ཉིད་ནི 	སྟོན་པ 	bstod tshogs ka_.txt	     ལ  མ་ཡིན་ནོ  །_།  སྟོང་པ  ཉིད་ནི  སྟོན་པ 
 ལ  བས 						ལ 	བས 	ཇི་སྙེད 	གསུངས་པ 	གང 	།_། 	bstod tshogs ka_.txt	     ལ  བས  ཇི་སྙེད  གསུངས་པ  གང  །_། 
 ལ ྡོག 						ལ	ྡོག 	_། 	ཁམས་དེ 	ཉམས་པ 	-ར 	bstod tshogs ka_.txt	     ལ ྡོག  _།  ཁམས་དེ  ཉམས་པ  -ར 
 ལ ་ན 						ལ	་ན 	ཡོད་པ 	-འི་ཆུ 	།_། 	དྲི 	bstod tshogs ka_.txt	     ལ ་ན  ཡོད་པ  -འི་ཆུ  །_།  དྲི 
 ལ ྟར 						ལ	ྟར 	།_། 	ཉོན་མོངས 	ནང་ན 	ཡེ་ཤེས་ཀྱང 	bstod tshogs ka_.txt	     ལ ྟར  །_།  ཉོན་མོངས  ནང་ན  ཡེ་ཤེས་ཀྱང 
ཇི  ལ ྟར 	གཟུང་བ 	ཀུན་ལས 	རྣམ་གྲོལ་བ 	།_། 	ཇི 	ལ	ྟར 	བདག་ཅེས 	བརྟག 	པར་བྱ 	།_། 	bstod tshogs ka_.txt	གཟུང་བ  ཀུན་ལས  རྣམ་གྲོལ་བ  །_།  ཇི  ལ ྟར  བདག་ཅེས  བརྟག  པར་བྱ  །_། 
 ལ  །_། 						ལ 	།_། 	བུད 	མེད 	སྐྱེས་པ 	དམིགས 	bstod tshogs ka_.txt	     ལ  །_།  བུད  མེད  སྐྱེས་པ  དམིགས 
 ལ ྡོངས 	མ་ཡིན 	།_། 	འདོད 	ཆགས་ཀྱིས 		ལ	ྡོངས 	གདུལ་བྱ 	-འི་ཕྱིར 	།_། 	བུད 	bstod tshogs ka_.txt	མ་ཡིན  །_།  འདོད  ཆགས་ཀྱིས   ལ ྡོངས  གདུལ་བྱ  -འི་ཕྱིར  །_།  བུད 
 ལ  སྟོང་པ་ཞེས 						ལ 	སྟོང་པ་ཞེས 	།_། 	བྱ་བ་གསུམ་པོ 	-ས 	སེམས 	bstod tshogs ka_.txt	     ལ  སྟོང་པ་ཞེས  །_།  བྱ་བ་གསུམ་པོ  -ས  སེམས 
ཇི  ལ ྟར 	ཆོས་ནི 	རང་བཞིན 	མེད་པ་ཡིན 	།_། 	ཇི 	ལ	ྟར 	སྦྲུམ་མ 	-འི 	ལྟོ་ན་བུ 	།_། 	bstod tshogs ka_.txt	ཆོས་ནི  རང་བཞིན  མེད་པ་ཡིན  །_།  ཇི  ལ ྟར  སྦྲུམ་མ  -འི  ལྟོ་ན་བུ  །_། 
 ལ ས 						ལ	ས 	གྱུར་པ 	-ས་སོ 	།_། 	སངས 	bstod tshogs ka_.txt	     ལ ས  གྱུར་པ  -ས་སོ  །_།  སངས 
 ལ མ་ཡང 						ལ	མ་ཡང 	_།_། 	སྣང་བ 	མེད་ཅིང 	མཚན་ཉིད་མེད 	bstod tshogs ka_.txt	     ལ མ་ཡང  _།_།  སྣང་བ  མེད་ཅིང  མཚན་ཉིད་མེད 
 ལ ྡན་ཉིད 						ལ	ྡན་ཉིད 	།_། 	སངས 	རྒྱས 	རྟག་པ 	bstod tshogs ka_.txt	     ལ ྡན་ཉིད  །_།  སངས  རྒྱས  རྟག་པ 
 ལ ྟར 	-འི 	ཆོས་ཉིད་ཅན 	།_། 	ཇི 		ལ	ྟར 	རི་བོང 	མགོ་ཡི་རྭ 	།_། 	བརྟགས་པ 	bstod tshogs ka_.txt	-འི  ཆོས་ཉིད་ཅན  །_།  ཇི   ལ ྟར  རི་བོང  མགོ་ཡི་རྭ  །_།  བརྟགས་པ 
 ལ ྟར 						ལ	ྟར 	།_། 	དེ 	བཞིན 	ཆོས 	bstod tshogs ka_.txt	     ལ ྟར  །_།  དེ  བཞིན  ཆོས 
 ལ ་གྱི 						ལ	་གྱི 	ངོ་བོ་ཡིས 	།_། 	གླང་གི 	རྭ་ཡང 	bstod tshogs ka_.txt	     ལ ་གྱི  ངོ་བོ་ཡིས  །_།  གླང་གི  རྭ་ཡང 
 ལ ྟར 	དམིགས 	མ་ཡིན 	།_། 	ཇི 		ལ	ྟར 	སྔོན་བཞིན 	ཕྱིས་དེ་བཞིན 	།_། 	དེ་ལ་ཅི་ཞིག 	bstod tshogs ka_.txt	དམིགས  མ་ཡིན  །_།  ཇི   ལ ྟར  སྔོན་བཞིན  ཕྱིས་དེ་བཞིན  །_།  དེ་ལ་ཅི་ཞིག 
 ལ ྟར 						ལ	ྟར 	རྟོག་པ 	-ར་བྱེད 	།_། 	རི 	bstod tshogs ka_.txt	     ལ ྟར  རྟོག་པ  -ར་བྱེད  །_།  རི 
 ལ ྟར 	བོང་བ 	གླང་རྭ་ཡི་དཔེས 	།_། 	ཇི 		ལ	ྟར 	བདེ་གཤེགས 	ཆོས 	རྣམས་ཉིད 	།_། 	bstod tshogs ka_.txt	བོང་བ  གླང་རྭ་ཡི་དཔེས  །_།  ཇི   ལ ྟར  བདེ་གཤེགས  ཆོས  རྣམས་ཉིད  །_། 
ཇི  ལ ྟར 	ཉིད་དུ 	སྒྲུབ་པ 	-ར་བྱེད 	།_། 	ཇི 	ལ	ྟར 	ཉི་ཟླ 	སྐར་མ 	-འི་གཟུགས 	།_། 	bstod tshogs ka_.txt	ཉིད་དུ  སྒྲུབ་པ  -ར་བྱེད  །_།  ཇི  ལ ྟར  ཉི་ཟླ  སྐར་མ  -འི་གཟུགས  །_། 
 ལ ྟར 						ལ	ྟར 	།_། 	མཚན 	ཉིད 	རྫོགས་པ 	bstod tshogs ka_.txt	     ལ ྟར  །_།  མཚན  ཉིད  རྫོགས་པ 
