།_  དེ  བཞིན 	ཐུན་མོང 	མ་ཡིན་པ 	ལ 	བསྟོད་པ 	།_ 	དེ 	བཞིན 	གཤེགས་པ 	ཐམས་ཅད་ལ 	ཕྱག 	འཚལ་ལོ 	bstod tshogs ka_.txt	ཐུན་མོང  མ་ཡིན་པ  ལ  བསྟོད་པ  །_  དེ  བཞིན  གཤེགས་པ  ཐམས་ཅད་ལ  ཕྱག  འཚལ་ལོ 
 དེ  བཞིན 						དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	བསྒྲིབས་པའི 	།_། 	ཆོས 	bstod tshogs ka_.txt	     དེ  བཞིན  ཉོན་མོངས་ཀྱིས  བསྒྲིབས་པའི  །_།  ཆོས 
།_།  དེ  བཞིན 	འབྲས་བུ 	-ར 	མི 	འདོད་ལྟར 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	གཡོགས་པས 	།_། 	དེ་ནི 	bstod tshogs ka_.txt	འབྲས་བུ  -ར  མི  འདོད་ལྟར  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས  གཡོགས་པས  །_།  དེ་ནི 
།_།  དེ  བཞིན 	ཉིད 	སྣང་བ 	-ར 	འགྱུར་བ་ལྟར 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ལས 	གྲོལ་ན 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	ཉིད  སྣང་བ  -ར  འགྱུར་བ་ལྟར  །_།  དེ  བཞིན  ཉོན་མོངས་ལས  གྲོལ་ན  །_།  ཆོས་ཀྱི 
།_།  དེ ་ཡི 	རྟེན་ན་ནི 	དཔེ 	-ར 	བྱེད་ཀྱང 	།_། 	དེ	་ཡི 	འབྲས་བུ 	སྙིང་པོ་ཉིད 	།_། 	མངར་པོ 	bstod tshogs ka_.txt	རྟེན་ན་ནི  དཔེ  -ར  བྱེད་ཀྱང  །_།  དེ ་ཡི  འབྲས་བུ  སྙིང་པོ་ཉིད  །_།  མངར་པོ 
།_།  དེ ་ཡི 	ཉོན་མོངས 	གཟེབ་དང 	བྲལ 	གྱུར་ན 	།_། 	དེ	་ཡི 	འབྲས་བུ 	སངས་རྒྱས་ཉིད 	།_། 	ལུས 	bstod tshogs ka_.txt	ཉོན་མོངས  གཟེབ་དང  བྲལ  གྱུར་ན  །_།  དེ ་ཡི  འབྲས་བུ  སངས་རྒྱས་ཉིད  །_།  ལུས 
།_།  དེ  བཞིན 	ཅན 	ཀུན་གྱི 	བདུད་རྩི 	-ར་འགྱུར 	།_། 	དེ 	བཞིན 	ས་བོན 	ཐམས་ཅད་ལས 	།_། 	རྒྱུ་དང 	bstod tshogs ka_.txt	ཅན  ཀུན་གྱི  བདུད་རྩི  -ར་འགྱུར  །_།  དེ  བཞིན  ས་བོན  ཐམས་ཅད་ལས  །_།  རྒྱུ་དང 
 དེ ་ཉིད 						དེ	་ཉིད 	།_། 	ཆོས 	རྣམས 	ཀུན་གྱི 	bstod tshogs ka_.txt	     དེ ་ཉིད  །_།  ཆོས  རྣམས  ཀུན་གྱི 
།_།  དེ  བཞིན 	སྒྲིབ་པ 	ལྔ་ཡིས 	བསྒྲིབས་པ 	-ར་གྱུར 	།_། 	དེ 	བཞིན 	འོད་གསལ་བ་ཡི་སེམས 	།_། 	འདོད་དང 	གནོད་སེམས 	bstod tshogs ka_.txt	སྒྲིབ་པ  ལྔ་ཡིས  བསྒྲིབས་པ  -ར་གྱུར  །_།  དེ  བཞིན  འོད་གསལ་བ་ཡི་སེམས  །_།  འདོད་དང  གནོད་སེམས 
།_།  དེ  བཞིན 	ཚིག 	འགྱུར 	གོས 	མིན་ལྟར 	།_། 	དེ 	བཞིན 	འོད་གསལ་བ་ཡི་སེམས 	།_། 	འདོད 	ཆགས་ལ 	bstod tshogs ka_.txt	ཚིག  འགྱུར  གོས  མིན་ལྟར  །_།  དེ  བཞིན  འོད་གསལ་བ་ཡི་སེམས  །_།  འདོད  ཆགས་ལ 
_།  དེ  ཉིད 	ཡེ 	ཤེས 	མེ་ཡིས 	ཉོན་མོངས་བསྲེག 	_། 	དེ 	ཉིད 	འོད་གསལ 	མ་ཡིན་ནོ 	།_། 	སྟོང་པ 	bstod tshogs ka_.txt	ཡེ  ཤེས  མེ་ཡིས  ཉོན་མོངས་བསྲེག  _།  དེ  ཉིད  འོད་གསལ  མ་ཡིན་ནོ  །_།  སྟོང་པ 
།_།  དེ  དག 	བས 	ཇི་སྙེད 	གསུངས་པ 	གང 	།_། 	དེ 	དག 	ཀུན་གྱིས 	ཉོན་མོངས་ལྡོག 	_། 	ཁམས་དེ 	bstod tshogs ka_.txt	བས  ཇི་སྙེད  གསུངས་པ  གང  །_།  དེ  དག  ཀུན་གྱིས  ཉོན་མོངས་ལྡོག  _།  ཁམས་དེ 
_།_།  དེ ་བཞིན 	།_། 	ཉོན་མོངས 	ནང་ན 	ཡེ་ཤེས་ཀྱང 	_།_། 	དེ	་བཞིན 	དྲི་མ 	མེད་པ 	-ར་གནས 	།_། 	bstod tshogs ka_.txt	།_།  ཉོན་མོངས  ནང་ན  ཡེ་ཤེས་ཀྱང  _།_།  དེ ་བཞིན  དྲི་མ  མེད་པ  -ར་གནས  །_། 
།_།  དེ  བཞིན 	།_། 	ཡོད་ཀྱང 	མཐོང་བ 	མ་ཡིན་པ 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	གཡོགས་པའི 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	།_།  ཡོད་ཀྱང  མཐོང་བ  མ་ཡིན་པ  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས  གཡོགས་པའི  །_།  ཆོས་ཀྱི 
།_།  དེ  བཞིན 	།_། 	བརྟགས་པ 	ཉིད་དེ 	མེད་པ་ལྟར 	།_། 	དེ 	བཞིན 	ཆོས 	རྣམས 	ཐམས་ཅད་ཀྱང 	_།_། 	bstod tshogs ka_.txt	།_།  བརྟགས་པ  ཉིད་དེ  མེད་པ་ལྟར  །_།  དེ  བཞིན  ཆོས  རྣམས  ཐམས་ཅད་ཀྱང  _།_། 
 དེ  ཡོད 						དེ 	ཡོད 	མ་ཡིན 	།_། 	ཕྲ 	རབ 	bstod tshogs ka_.txt	     དེ  ཡོད  མ་ཡིན  །_།  ཕྲ  རབ 
།_།  དེ ་ལ་ཅི་ཞིག 	ཇི 	ལྟར 	སྔོན་བཞིན 	ཕྱིས་དེ་བཞིན 	།_། 	དེ	་ལ་ཅི་ཞིག 	བརྟག 	པར་བྱ 	།_། 	བརྟེན་ནས 	bstod tshogs ka_.txt	ཇི  ལྟར  སྔོན་བཞིན  ཕྱིས་དེ་བཞིན  །_།  དེ ་ལ་ཅི་ཞིག  བརྟག  པར་བྱ  །_།  བརྟེན་ནས 
 དེ ་གཤེགས 						དེ	་གཤེགས 	ཆོས 	རྣམས་ཉིད 	།_། 	དབུ 	bstod tshogs ka_.txt	     དེ ་གཤེགས  ཆོས  རྣམས་ཉིད  །_།  དབུ 
 དེ ་དང་འདྲ 						དེ	་དང་འདྲ 	།_། 	ཐོག 	མ 	བར་དང 	bstod tshogs ka_.txt	     དེ ་དང་འདྲ  །_།  ཐོག  མ  བར་དང 
གང་ཞིག  དེ ་ལྟར 	བསླུ་བ 	མེད་ཅིང 	བརྟན་པ་ཡི 	།_། 	གང་ཞིག 	དེ	་ལྟར 	བདག་མེད་པ 	-འང 	_།_། 	ཇི་ལྟར 	bstod tshogs ka_.txt	བསླུ་བ  མེད་ཅིང  བརྟན་པ་ཡི  །_།  གང་ཞིག  དེ ་ལྟར  བདག་མེད་པ  -འང  _།_།  ཇི་ལྟར 
།_།  དེ  ཉིད 	།_། 	དྲོའོ་ཞེས་ནི 	རྗོད་པ 	-ར་བྱེད 	།_། 	དེ 	ཉིད 	གྲང་བ 	-འི 	དུས་སུ་ནི 	།_། 	bstod tshogs ka_.txt	།_།  དྲོའོ་ཞེས་ནི  རྗོད་པ  -ར་བྱེད  །_།  དེ  ཉིད  གྲང་བ  -འི  དུས་སུ་ནི  །_། 
།_།  དེ  ཉིད 	སེམས 	ཅན་ཞེས་ནི 	བརྗོད་པ 	-ར་བྱ 	།_། 	དེ 	ཉིད 	ཉོན་མོངས 	བྲལ 	གྱུར་ན 	།_། 	bstod tshogs ka_.txt	སེམས  ཅན་ཞེས་ནི  བརྗོད་པ  -ར་བྱ  །_།  དེ  ཉིད  ཉོན་མོངས  བྲལ  གྱུར་ན  །_། 
།_།  དེ ་ནི 	།_། 	སྣ་དང 	དྲི་ལ 	བརྟེན་ནས་སྣོམ 	།_། 	དེ	་ནི 	གཟུགས་སུ 	མེད་པ 	-འི་དཔེས 	།_། 	bstod tshogs ka_.txt	།_།  སྣ་དང  དྲི་ལ  བརྟེན་ནས་སྣོམ  །_།  དེ ་ནི  གཟུགས་སུ  མེད་པ  -འི་དཔེས  །_། 
 དེ  བཞིན 						དེ 	བཞིན 	སྣ་ཡི 	རྣམ་ཤེས་ཀྱིས 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	     དེ  བཞིན  སྣ་ཡི  རྣམ་ཤེས་ཀྱིས  །_།  ཆོས་ཀྱི 
རྣམས  དེ ་ལྟར 	-ར 	གྱུར་པ་དང 	_།_། 	ཆོས 	རྣམས 	དེ	་ལྟར 	རྣལ་འབྱོར་པས 	།_། 	ཤེས་ན 	མཚན་ཉིད 	bstod tshogs ka_.txt	-ར  གྱུར་པ་དང  _།_།  ཆོས  རྣམས  དེ ་ལྟར  རྣལ་འབྱོར་པས  །_།  ཤེས་ན  མཚན་ཉིད 
ལུས་དང  དེ ་བཞིན་ཡིད 	སྣ 	དག་དང 	_།_། 	ལྕེ་དང 	ལུས་དང 	དེ	་བཞིན་ཡིད 	།_། 	སྐྱེ 	མཆེད་དྲུག་པོ 	རྣམ་དག་པ 	bstod tshogs ka_.txt	སྣ  དག་དང  _།_།  ལྕེ་དང  ལུས་དང  དེ ་བཞིན་ཡིད  །_།  སྐྱེ  མཆེད་དྲུག་པོ  རྣམ་དག་པ 
 དེ ་ཉིད 	།_། 	འདི 	ཉིད 			དེ	་ཉིད 	མཚན་ཉིད་དོ 	།_། 	སེམས 	ཉིད 	bstod tshogs ka_.txt	།_།  འདི  ཉིད    དེ ་ཉིད  མཚན་ཉིད་དོ  །_།  སེམས  ཉིད 
རིག་ན  དེ ་ཉིད་དོ 	འཁོར་བ་སྟེ 	།_། 	སོ་སོ 	-ར 	རིག་ན 	དེ	་ཉིད་དོ 	།_། 	འདོད 	ཆགས 	ཟད་པ 	bstod tshogs ka_.txt	འཁོར་བ་སྟེ  །_།  སོ་སོ  -ར  རིག་ན  དེ ་ཉིད་དོ  །_།  འདོད  ཆགས  ཟད་པ 
_།_།  དེ ་དག 	ཞེ 	སྡང 	གཏི་མུག 	ཟད་པ་དང 	_།_། 	དེ	་དག 	འགགས་པ 	སངས་རྒྱས་ཉིད 	།_། 	ལུས 	bstod tshogs ka_.txt	ཞེ  སྡང  གཏི་མུག  ཟད་པ་དང  _།_།  དེ ་དག  འགགས་པ  སངས་རྒྱས་ཉིད  །_།  ལུས 
 དེ  །_། 						དེ 	།_། 	རང་གི 	རྣམ་པ 	-ར 	རྟོག་པ 	bstod tshogs ka_.txt	     དེ  །_།  རང་གི  རྣམ་པ  -ར  རྟོག་པ 
།_།  དེ  བཞིན 	།_། 	ཉོན་མོངས 	ཅན་གྱི 	སེམས་ཅན་གྱིས 	།_། 	དེ 	བཞིན 	གཤེགས་པ 	མི 	མཐོང་ངོ 	_།_། 	bstod tshogs ka_.txt	།_།  ཉོན་མོངས  ཅན་གྱི  སེམས་ཅན་གྱིས  །_།  དེ  བཞིན  གཤེགས་པ  མི  མཐོང་ངོ  _།_། 
།_།  དེ  བཞིན 	མཚོ 	སྐམས 	པར 	མཐོང་བ་ལྟར 	།_། 	དེ 	བཞིན 	མི 	ཤེས་པ 	-ས 	བསྒྲིབས་པས 	bstod tshogs ka_.txt	མཚོ  སྐམས  པར  མཐོང་བ་ལྟར  །_།  དེ  བཞིན  མི  ཤེས་པ  -ས  བསྒྲིབས་པས 
 དེ ་ཡི 						དེ	་ཡི 	མདུན་ན་གནས 	།_། 	མགོན་པོ་དེ་ཡི 	གཟུགས་ཀྱི་སྐུས 	bstod tshogs ka_.txt	     དེ ་ཡི  མདུན་ན་གནས  །_།  མགོན་པོ་དེ་ཡི  གཟུགས་ཀྱི་སྐུས 
།_།  དེ ར་ནི 	སེམས་ཀྱི 	ཡུལ་ནི 	ངེས 	རྟོགས་ནས 	།_། 	དེ	ར་ནི 	ཤེས་པ 	འཇུག་པ 	-ར་གྱུར 	།_། 	bstod tshogs ka_.txt	སེམས་ཀྱི  ཡུལ་ནི  ངེས  རྟོགས་ནས  །_།  དེ ར་ནི  ཤེས་པ  འཇུག་པ  -ར་གྱུར  །_། 
 དེ ་ཡི 						དེ	་ཡི 	བདག་ཉིད་གནས 	།_། 	དབང 	ཕྱུག 	bstod tshogs ka_.txt	     དེ ་ཡི  བདག་ཉིད་གནས  །_།  དབང  ཕྱུག 
 དེ ་རྣམ 						དེ	་རྣམ 	མཛེས་པ 	།_། 	ཤེས་པ་གསུམ་པོ 	གཅིག་ཉིད་དུ 	bstod tshogs ka_.txt	     དེ ་རྣམ  མཛེས་པ  །_།  ཤེས་པ་གསུམ་པོ  གཅིག་ཉིད་དུ 
 དེ ་ཉིད 						དེ	་ཉིད 	།_། 	གང་གི 	འབྲས་བུ 	མི་ཟད་གང 	bstod tshogs ka_.txt	     དེ ་ཉིད  །_།  གང་གི  འབྲས་བུ  མི་ཟད་གང 
མ་ཡིན  དེ ་བཞིན་གནས 	འོ་མ 	འཐུང་བྱེད་ཅིང 	_།_། 	ཆུ་ནི 	མ་ཡིན 	དེ	་བཞིན་གནས 	།_། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	bstod tshogs ka_.txt	འོ་མ  འཐུང་བྱེད་ཅིང  _།_།  ཆུ་ནི  མ་ཡིན  དེ ་བཞིན་གནས  །_།  དེ  བཞིན  ཉོན་མོངས་ཀྱིས 
།_།  དེ ་ཡི་གཉིས 	གང 	ཕྱིར་གཉིས་ནི 	བྱིས་པ 	-ས་བརྟགས 	།_། 	དེ	་ཡི་གཉིས 	མེད 	རྣལ་འབྱོར་གནས 	།_། 	དཀའ 	bstod tshogs ka_.txt	གང  ཕྱིར་གཉིས་ནི  བྱིས་པ  -ས་བརྟགས  །_།  དེ ་ཡི་གཉིས  མེད  རྣལ་འབྱོར་གནས  །_།  དཀའ 
 དེ ས 						དེ	ས 	།_། 	བུར་ཤིང 	ས་བོན 	མེད་པ 	bstod tshogs ka_.txt	     དེ ས  །_།  བུར་ཤིང  ས་བོན  མེད་པ 
།_།  དེ ་ལས 	བུ་རམ 	ཁ་ར 	ཧྭགས 	རྣམས་ནི 	།_། 	དེ	་ལས 	འབྱུང་བ 	-ར 	འགྱུར་བ་ལྟར 	།_། 	bstod tshogs ka_.txt	བུ་རམ  ཁ་ར  ཧྭགས  རྣམས་ནི  །_།  དེ ་ལས  འབྱུང་བ  -ར  འགྱུར་བ་ལྟར  །_། 
།_།  དེ ་ལས 	བཅོམ 	རྐྱེན 	རྟོགས 	སངས་རྒྱས་རྣམས 	།_། 	དེ	་ལས 	སྐྱེ་ཞིང 	འབྱུང་བ 	-ར་འགྱུར 	།_། 	bstod tshogs ka_.txt	བཅོམ  རྐྱེན  རྟོགས  སངས་རྒྱས་རྣམས  །_།  དེ ་ལས  སྐྱེ་ཞིང  འབྱུང་བ  -ར་འགྱུར  །_། 
།_།  དེ  བཞིན 	-ས 	སྲུང་བ 	-ར 	བྱེད་པ་ལྟར 	།_། 	དེ 	བཞིན 	ཐེག་མཆོག 	མོས 	རྣམས 	ལ 	bstod tshogs ka_.txt	-ས  སྲུང་བ  -ར  བྱེད་པ་ལྟར  །_།  དེ  བཞིན  ཐེག་མཆོག  མོས  རྣམས  ལ 
།_།  དེ  བཞིན 	།_། 	ཟླ་བ 	ཅུང་ཟད 	མཐོང་བ་ལྟར 	།_། 	དེ 	བཞིན 	ཐེག་མཆོག 	མོས 	རྣམས 	ལ 	bstod tshogs ka_.txt	།_།  ཟླ་བ  ཅུང་ཟད  མཐོང་བ་ལྟར  །_།  དེ  བཞིན  ཐེག་མཆོག  མོས  རྣམས  ལ 
_།_།  དེ ་བཞིན 	སྐད་ཅིག 	རྒྱས་པ 	-ར 	མཐོང 	_།_། 	དེ	་བཞིན 	ས་ལ 	ཞུགས 	རྣམས་ཀྱང 	_།_། 	bstod tshogs ka_.txt	སྐད་ཅིག  རྒྱས་པ  -ར  མཐོང  _།_།  དེ ་བཞིན  ས་ལ  ཞུགས  རྣམས་ཀྱང  _།_། 
།_།  དེ  བཞིན 	ཟླ་བ 	རྫོགས་པ 	-ར 	འགྱུར་བ་ལྟར 	།_། 	དེ 	བཞིན 	ས་ཡི 	མཐར་ཐུག་ན 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	ཟླ་བ  རྫོགས་པ  -ར  འགྱུར་བ་ལྟར  །_།  དེ  བཞིན  ས་ཡི  མཐར་ཐུག་ན  །_།  ཆོས་ཀྱི 
སེམས  དེ ་ཡང 	རྟག་ཏུ 	མོས་པ 	བརྟན་པོ་ཡིས 	།_། 	སེམས 	དེ	་ཡང 	དག 	སྐྱེད 	བྱས་ནས 	།_། 	bstod tshogs ka_.txt	རྟག་ཏུ  མོས་པ  བརྟན་པོ་ཡིས  །_།  སེམས  དེ ་ཡང  དག  སྐྱེད  བྱས་ནས  །_། 
།_།  དེ  ཚེ་དེ་ནི 	-འི 	གཞི་ནི 	རབ 	བཟུང་བས 	།_། 	དེ 	ཚེ་དེ་ནི 	ངེས 	རྟོགས་པ 	།_། 	དགའ་བ་ཞེས་ནི 	bstod tshogs ka_.txt	-འི  གཞི་ནི  རབ  བཟུང་བས  །_།  དེ  ཚེ་དེ་ནི  ངེས  རྟོགས་པ  །_།  དགའ་བ་ཞེས་ནི 
 དེ  འོད་འཕྲོ 						དེ 	འོད་འཕྲོ 	ཅན་དུ་འདོད 	།_། 	རིག་དང 	སྒྱུ་རྩལ 	bstod tshogs ka_.txt	     དེ  འོད་འཕྲོ  ཅན་དུ་འདོད  །_།  རིག་དང  སྒྱུ་རྩལ 
 དེ  མངོན་དུ 						དེ 	མངོན་དུ 	འགྱུར་བ 	-ར་འདོད 	།_། 	འཁོར 	bstod tshogs ka_.txt	     དེ  མངོན་དུ  འགྱུར་བ  -ར་འདོད  །_།  འཁོར 
།_།  དེ ་ལ 	-འི 	མཚོ་ཡི 	འདམ 	རྒལ་བས 	།_། 	དེ	་ལ 	རིང་དུ 	སོང་ཞེས་བྱ 	།_། 	སངས 	bstod tshogs ka_.txt	-འི  མཚོ་ཡི  འདམ  རྒལ་བས  །_།  དེ ་ལ  རིང་དུ  སོང་ཞེས་བྱ  །_།  སངས 
 དེ  མཐའ 						དེ 	མཐའ 	-ར 	སོན་པས 	།_། 	ས་དེ 	bstod tshogs ka_.txt	     དེ  མཐའ  -ར  སོན་པས  །_།  ས་དེ 
 དེ  །_། 						དེ 	།_། 	ཆོས་ཀྱི 	སྐུ་ཞེས 	བརྗོད་པ་ཡིན 	།_། 	bstod tshogs ka_.txt	     དེ  །_།  ཆོས་ཀྱི  སྐུ་ཞེས  བརྗོད་པ་ཡིན  །_། 
 དེ ་ནི 						དེ	་ནི 	རབ་གནས་འགྱུར 	།_། 	འདབ 	མ 	bstod tshogs ka_.txt	     དེ ་ནི  རབ་གནས་འགྱུར  །_།  འདབ  མ 
 དེ ར 						དེ	ར 	།_། 	དྲི 	མེད 	རིན་ཆེན 	bstod tshogs ka_.txt	     དེ ར  །_།  དྲི  མེད  རིན་ཆེན 
ཆེན་པོ  དེ  -ར 	ཀུན་དུ་སྩོལ 	།_། 	རྣལ 	འབྱོར 	ཆེན་པོ 	དེ 	-ར 	གནས་ནས 	།_། 	རྨོངས་པ 	-ས 	bstod tshogs ka_.txt	ཀུན་དུ་སྩོལ  །_།  རྣལ  འབྱོར  ཆེན་པོ  དེ  -ར  གནས་ནས  །_།  རྨོངས་པ  -ས 
།_།  དེ ་ཡི 	ལྷ་ཡི 	སྤྱན་གྱིས 	གཟིགས 	གྱུར་ནས 	།_། 	དེ	་ཡི 	སྐུ་ལས 	འོད་ཟེར་རྣམས 	།_། 	འབད་པ 	bstod tshogs ka_.txt	ལྷ་ཡི  སྤྱན་གྱིས  གཟིགས  གྱུར་ནས  །_།  དེ ་ཡི  སྐུ་ལས  འོད་ཟེར་རྣམས  །_།  འབད་པ 
 དེ ་ཡི 						དེ	་ཡི 	།_། 	སྒོ 	རྣམས 	འབྱེད 	bstod tshogs ka_.txt	     དེ ་ཡི  །_།  སྒོ  རྣམས  འབྱེད 
ངོ་བོ  དེ ་ཡང་དེ 	ཅན 	ཀུན་གྱི 	དངོས་མེད་པའི 	།_། 	ངོ་བོ 	དེ	་ཡང་དེ 	སྤྱོད་ཡུལ 	།_། 	དེ 	མཐོང 	bstod tshogs ka_.txt	ཅན  ཀུན་གྱི  དངོས་མེད་པའི  །_།  ངོ་བོ  དེ ་ཡང་དེ  སྤྱོད་ཡུལ  །_།  དེ  མཐོང 
།_།  དེ ་ལས 	སྣ 	ཚོགས 	ནོར་བུ 	ཇི་བཞིན་དུ 	།_། 	དེ	་ལས 	སེམས་ཅན 	དོན 	རབ་མཛད 	།_། 	bstod tshogs ka_.txt	སྣ  ཚོགས  ནོར་བུ  ཇི་བཞིན་དུ  །_།  དེ ་ལས  སེམས་ཅན  དོན  རབ་མཛད  །_། 
།_།  དེ  ཉིད 	།_། 	ཁྱོད་ཀྱིས 	གཟིགས་པ 	བླ་མེད་དེ 	།_། 	དེ 	ཉིད 	དོན་ནི 	རིག་པ་ལགས 	།_། 	དོན 	bstod tshogs ka_.txt	།_།  ཁྱོད་ཀྱིས  གཟིགས་པ  བླ་མེད་དེ  །_།  དེ  ཉིད  དོན་ནི  རིག་པ་ལགས  །_།  དོན 
 དེ  མགོན་པོ 						དེ 	མགོན་པོ 	ཁྱོད་ཀྱིས་རྟོགས 	།_། 	ཁྱོད་ཀྱིས 	ཀུན་ནས 	bstod tshogs ka_.txt	     དེ  མགོན་པོ  ཁྱོད་ཀྱིས་རྟོགས  །_།  ཁྱོད་ཀྱིས  ཀུན་ནས 
སྡུག་བསྔལ  དེ ་བཞིན་དུ 	གྱུར་པ 	-འང་ཁྱོད 	།_། 	བདེ་དང 	སྡུག་བསྔལ 	དེ	་བཞིན་དུ 	།_། 	རྟག 	མི་རྟག 	སོགས་ལ་གཙོ་ཁྱོད 	bstod tshogs ka_.txt	གྱུར་པ  -འང་ཁྱོད  །_།  བདེ་དང  སྡུག་བསྔལ  དེ ་བཞིན་དུ  །_།  རྟག  མི་རྟག  སོགས་ལ་གཙོ་ཁྱོད 
།_།  དེ  ལྟ 					།_། 	དེ 	ལྟ 	-འི 	རྣམ་རྟོག 	སྣ་ཚོགས་ཀྱིས 	།_། 	bstod tshogs ka_.txt	    །_།  དེ  ལྟ  -འི  རྣམ་རྟོག  སྣ་ཚོགས་ཀྱིས  །_། 
